trip_id,arrival_time,departure_time,stop_id,stop_sequence
1_1,07:45:00,07:45:00,B33,1
1_1,07:46:00,07:46:00,B40,2
1_1,07:47:00,07:47:00,B500,3
1_1,07:48:00,07:48:00,B22,4
1_1,07:49:00,07:49:00,B101,5
1_1,07:50:00,07:50:00,B504,6
1_1,07:51:00,07:51:00,ISR,7
1_1,07:53:00,07:53:00,B30,8
1_1,07:54:00,07:54:00,B36,9
1_1,07:55:00,07:55:00,B188,10
1_1,07:57:00,07:57:00,B530,11
1_1,07:58:00,07:58:00,B54,12
1_1,07:59:00,07:59:00,B855,13
1_1,08:00:00,08:00:00,B57,14
1_1,08:02:00,08:02:00,B13,15

1_2,08:05:00,08:05:00,B33,1
1_2,08:06:00,08:06:00,B40,2
1_2,08:07:00,08:07:00,B500,3
1_2,08:08:00,08:08:00,B22,4
1_2,08:09:00,08:09:00,B101,5
1_2,08:10:00,08:10:00,B504,6
1_2,08:11:00,08:11:00,ISR,7
1_2,08:13:00,08:13:00,B30,8
1_2,08:14:00,08:14:00,B36,9
1_2,08:15:00,08:15:00,B188,10
1_2,08:17:00,08:17:00,B530,11
1_2,08:18:00,08:18:00,B54,12
1_2,08:19:00,08:19:00,B855,13
1_2,08:20:00,08:20:00,B57,14
1_2,08:22:00,08:22:00,B13,15

1_3,08:25:00,08:25:00,B33,1
1_3,08:26:00,08:26:00,B40,2
1_3,08:27:00,08:27:00,B500,3
1_3,08:28:00,08:28:00,B22,4
1_3,08:29:00,08:29:00,B101,5
1_3,08:30:00,08:30:00,B504,6
1_3,08:31:00,08:31:00,ISR,7
1_3,08:33:00,08:33:00,B30,8
1_3,08:34:00,08:34:00,B36,9
1_3,08:35:00,08:35:00,B188,10
1_3,08:37:00,08:37:00,B530,11
1_3,08:38:00,08:38:00,B54,12
1_3,08:39:00,08:39:00,B855,13
1_3,08:40:00,08:40:00,B57,14
1_3,08:42:00,08:42:00,B13,15

1_4,08:45:00,08:45:00,B33,1
1_4,08:46:00,08:46:00,B40,2
1_4,08:47:00,08:47:00,B500,3
1_4,08:48:00,08:48:00,B22,4
1_4,08:49:00,08:49:00,B101,5
1_4,08:50:00,08:50:00,B504,6
1_4,08:51:00,08:51:00,ISR,7
1_4,08:53:00,08:53:00,B30,8
1_4,08:54:00,08:54:00,B36,9
1_4,08:55:00,08:55:00,B188,10
1_4,08:57:00,08:57:00,B530,11
1_4,08:58:00,08:58:00,B54,12
1_4,08:59:00,08:59:00,B855,13
1_4,09:00:00,09:00:00,B57,14
1_4,09:02:00,09:02:00,B13,15

1_5,09:05:00,09:05:00,B33,1
1_5,09:06:00,09:06:00,B40,2
1_5,09:07:00,09:07:00,B500,3
1_5,09:08:00,09:08:00,B22,4
1_5,09:09:00,09:09:00,B101,5
1_5,09:10:00,09:10:00,B504,6
1_5,09:11:00,09:11:00,ISR,7
1_5,09:13:00,09:13:00,B30,8
1_5,09:14:00,09:14:00,B36,9
1_5,09:15:00,09:15:00,B188,10
1_5,09:17:00,09:17:00,B530,11
1_5,09:18:00,09:18:00,B54,12
1_5,09:19:00,09:19:00,B855,13
1_5,09:20:00,09:20:00,B57,14
1_5,09:22:00,09:22:00,B13,15

1_6,09:45:00,09:45:00,B33,1
1_6,09:46:00,09:46:00,B40,2
1_6,09:47:00,09:47:00,B500,3
1_6,09:48:00,09:48:00,B22,4
1_6,09:49:00,09:49:00,B101,5
1_6,09:50:00,09:50:00,B504,6
1_6,09:51:00,09:51:00,ISR,7
1_6,09:53:00,09:53:00,B30,8
1_6,09:54:00,09:54:00,B36,9
1_6,09:55:00,09:55:00,B188,10
1_6,09:57:00,09:57:00,B530,11
1_6,09:58:00,09:58:00,B54,12
1_6,09:59:00,09:59:00,B855,13
1_6,10:00:00,10:00:00,B57,14
1_6,10:02:00,10:02:00,B13,15

2_1,08:55:00,08:55:00,B500,1
2_1,08:56:00,08:56:00,B33,2
2_1,09:01:00,09:01:00,FH,3
2_1,09:11:00,09:11:00,B866,4
2_1,09:12:00,09:12:00,B865,5
2_1,09:12:30,09:12:30,B864,6
2_1,09:13:00,09:13:00,B926,7
2_1,09:14:00,09:14:00,B892,8
2_1,09:16:00,09:16:00,B888,9
2_1,09:18:00,09:18:00,CCC,10
2_1,09:25:00,09:25:00,FH,11

2_2,08:15:00,08:15:00,B500,1
2_2,08:16:00,08:16:00,B33,2
2_2,08:21:00,08:21:00,FH,3
2_2,08:31:00,08:31:00,B866,4
2_2,08:32:00,08:32:00,B865,5
2_2,08:32:30,08:32:30,B864,6
2_2,08:33:00,08:33:00,B926,7
2_2,08:34:00,08:34:00,B892,8
2_2,08:36:00,08:36:00,B888,9
2_2,08:38:00,08:38:00,CCC,10
2_2,08:45:00,08:45:00,FH,11

